ACC LIMITED,ACC
ADANI ENTERPRISES LIMITED,ADANIENT
ADANI PORT & SEZ LTD,ADANIPORTS
ADANI POWER LTD,ADANIPOWER
AJANTA PHARMA LIMITED,AJANTPHARM
ALLAHABAD BANK,ALBK
AMARA RAJA BATTERIES LTD.,AMARAJABAT
AMBUJA CEMENTS LTD,AMBUJACEM
ANDHRA BANK,ANDHRABANK
APOLLO HOSPITALS ENTER. L,APOLLOHOSP
APOLLO TYRES LTD,APOLLOTYRE
ARVIND LIMITED,ARVIND
ASHOK LEYLAND LTD,ASHOKLEY
ASIAN PAINTS LIMITED,ASIANPAINT
AUROBINDO PHARMA LTD,AUROPHARMA
AXIS BANK LIMITED,AXISBANK
BAJAJ AUTO LIMITED,BAJAJ-AUTO
BAJAJ FINANCE LIMITED,BAJFINANCE
BAJAJ FINSERV LIMITED,BAJAJFINSV
BALKRISHNA INDUSTRIES LIMITED,BALKRISIND
BALRAMPUR CHINI MILLS LIMITED,BALRAMCHIN
BANK OF BARODA,BANKBARODA
BANK OF INDIA,BANKINDIA
BATA INDIA LTD,BATAINDIA
BEML LIMITED,BEML
BERGER PAINTS (I) LIMITED,BERGEPAINT
BHARAT ELECTRONICS LTD,BEL
BHARAT FIN INCLUSION LTD,BHARATFIN
BHARAT FORGE LTD,BHARATFORG
BHARAT PETROLEUM CORP LT,BPCL
BHARTI AIRTEL LIMITED,BHARTIARTL
BHARTI INFRATEL LTD.,INFRATEL
BHEL,BHEL
BIOCON LIMITED.,BIOCON
BOSCH LIMITED,BOSCHLTD
BRITANNIA INDUSTRIES LTD,BRITANNIA
CADILA HEALTHCARE LIMITED,CADILAHC
CAN FIN HOMES LIMITED,CANFINHOME
CANARA BANK,CANBK
CAPITAL FIRST LIMITED,CAPF
CASTROL INDIA LIMITED,CASTROLIND
CEAT LIMITED,CEATLTD
CENTURY TEXTILES LTD,CENTURYTEX
CESC LTD,CESC
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CGPOWER
CHENNAI PETROLEUM CORPORATION LIMITED,CHENNPETRO
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN
CIPLA LTD,CIPLA
COAL INDIA LTD,COALINDIA
COLGATE PALMOLIVE LTD.,COLPAL
CONTAINER CORP OF IND LTD,CONCOR
CUMMINS INDIA LTD,CUMMINSIND
DABUR INDIA LTD,DABUR
DALMIA BHARAT LIMITED,DALMIABHA
DCB BANK LIMITED,DCBBANK
DEWAN HOUSING FIN CORP LT,DHFL
DISH TV INDIA LTD.,DISHTV
DIVI'S LABORATORIES LTD,DIVISLAB
DLF LIMITED,DLF
DR. REDDY'S LABORATORIES,DRREDDY
EICHER MOTORS LTD,EICHERMOT
ENGINEERS INDIA LTD,ENGINERSIN
EQUITAS HOLDINGS LIMITED,EQUITAS
ESCORTS LIMITED,ESCORTS
EXIDE INDUSTRIES LTD,EXIDEIND
FEDERAL BANK LTD,FEDERALBNK
FORTIS HEALTHCARE LIMITED,FORTIS
GAIL (INDIA) LTD,GAIL
GLENMARK PHARMACEUTICALS,GLENMARK
GMR INFRASTRUCTURE LTD.,GMRINFRA
GODFREY PHILLIPS INDIA LIMITED,GODFRYPHLP
GODREJ CONSUMER PRODUCTS,GODREJCP
GODREJ INDUSTRIES LTD,GODREJIND
GRANULES INDIA LIMITED,GRANULES
GRASIM INDUSTRIES LTD,GRASIM
GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,GSFC
HAVELLS INDIA LIMITED,HAVELLS
HCL TECHNOLOGIES LTD,HCLTECH
HDFC BANK LTD,HDFCBANK
HDFC LTD,HDFC
HERO MOTOCORP LIMITED,HEROMOTOCO
HEXAWARE TECHNOLOGIES LTD,HEXAWARE
HINDALCO INDUSTRIES LTD,HINDALCO
HINDUSTAN CONSTRUCTION COMPANY LIMITED,HCC
HINDUSTAN PETROLEUM CORP,HINDPETRO
HINDUSTAN UNILEVER LTD.,HINDUNILVR
HINDUSTAN ZINC LIMITED,HINDZINC
HOUSING DEV & INFRA LTD,HDIL
ICICI BANK LTD.,ICICIBANK
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
IDBI BANK LIMITED,IDBI
IDEA CELLULAR LIMITED,IDEA
IDFC BANK LIMITED,IDFCBANK
IDFC LIMITED,IDFC
IFCI LTD,IFCI
INDIABULLS HSG FIN LTD,IBULHSGFIN
INDIABULLS REAL EST. LTD,IBREALEST
INDIAN BANK,INDIANB
INDIAN OIL CORP LTD,IOC
INDO COUNT INDUSTRIES LTD,ICIL
INDRAPRASTHA GAS LTD,IGL
INDUSIND BANK LIMITED,INDUSINDBK
INFIBEAM INCORPORATION LIMITED,INFIBEAM
INFOSYS LIMITED,INFY
INTERGLOBE AVIATION LIMITED,INDIGO
IRB INFRA DEV LTD.,IRB
ITC LTD,ITC
JAIN IRRIGATION SYSTEMS,JISLJALEQS
JAIPRAKASH ASSOCIATES LTD,JPASSOCIAT
JET AIRWAYS (INDIA) LTD.,JETAIRWAYS
JINDAL STEEL & POWER LTD,JINDALSTEL
JSW ENERGY LIMITED,JSWENERGY
JSW STEEL LIMITED,JSWSTEEL
JUBILANT FOODWORKS LTD,JUBLFOOD
JUSTDIAL LTD.,JUSTDIAL
KAJARIA CERAMICS LIMITED,KAJARIACER
KARNATAKA BANK LIMITED,KTKBANK
KAVERI SEED CO. LTD.,KSCL
KOTAK MAHINDRA BANK LTD,KOTAKBANK
KPIT TECHNOLOGIES LTD,KPIT
L&T FINANCE HOLDINGS LTD,L&TFH
LARSEN & TOUBRO LTD.,LT
LIC HOUSING FINANCE LTD,LICHSGFIN
LUPIN LIMITED,LUPIN
M&M FIN. SERVICES LTD,M&MFIN
MAHANAGAR GAS LIMITED,MGL
MAHINDRA & MAHINDRA LTD,M&M
MANAPPURAM FINANCE LIMITED,MANAPPURAM
MANGALORE REFINERY AND PETROCHEMICALS LIMITED,MRPL
MARICO LIMITED,MARICO
MARUTI SUZUKI INDIA LTD.,MARUTI
MAX FINANCIAL SERVICES LIMITED,MFSL
MINDTREE LIMITED,MINDTREE
MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI
MRF LTD,MRF
MULTI COMMODITY EXCHANGE OF INDIA LIMITED,MCX
MUTHOOT FINANCE LIMITED,MUTHOOTFIN
NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
NBCC (INDIA) LIMITED,NBCC
NCC LIMITED,NCC
NESTLE INDIA LIMITED,NESTLEIND
NHPC LTD,NHPC
NIIT TECHNOLOGIES LTD,NIITTECH
NMDC LTD.,NMDC
NTPC LTD,NTPC
OIL AND NATURAL GAS CORP.,ONGC
OIL INDIA LTD,OIL
ORACLE FIN SERV SOFT LTD.,OFSS
ORIENTAL BANK OF COMMERCE,ORIENTBANK
PAGE INDUSTRIES LTD,PAGEIND
PC JEWELLER LTD,PCJEWELLER
PETRONET LNG LIMITED,PETRONET
PIDILITE INDUSTRIES LTD,PIDILITIND
PIRAMAL ENTERPRISES LIMITED,PEL
POWER FIN CORP LTD.,PFC
POWER GRID CORP. LTD.,POWERGRID
PTC INDIA LIMITED,PTC
PUNJAB NATIONAL BANK,PNB
PVR LIMITED,PVR
RAYMOND LIMITED,RAYMOND
RBL BANK LIMITED,RBLBANK
RELIANCE CAPITAL LTD,RELCAPITAL
RELIANCE COMMUNICATIONS L,RCOM
RELIANCE DEFENCE AND ENGINEERING LIMITED,RDEL
RELIANCE INDUSTRIES LTD,RELIANCE
RELIANCE INFRASTRUCTU LTD,RELINFRA
RELIANCE POWER LTD.,RPOWER
REPCO HOME FINANCE LIMITED,REPCOHOME
RURAL ELEC CORP. LTD.,RECLTD
SHREE CEMENTS LIMITED,SHREECEM
SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN
SIEMENS LTD,SIEMENS
SINTEX INDUSTRIES LTD,SINTEX
SREI INFRASTRUCTURE FINANCE LIMITED,SREINFRA
SRF LTD,SRF
STATE BANK OF INDIA,SBIN
STEEL AUTHORITY OF INDIA,SAIL
STRIDES SHASUN LIMITED,STAR
